DNI;Gusto1;Gusto2;Gusto3;Gusto4;Gusto5
18096546;Escalada;Vela;Waterpolo;Futbol;Basket
82181276;Golf;Jabalina;Futbol;Trekking;Jabalina
23339354;Ajedrez;Escalada;Jabalina;Ajedrez;Basket
40641831;Polo;Tennis;Escalada;Waterpolo;Ciclismo
37961961;Ajedrez;Surf;Escalada;Rugby;Ajedrez
66594468;Jabalina;Buceo;Voley;Cricket;Sky
32940778;Sky;Equitacion;Equitacion;Sky;Buceo
65015868;Parapente;Paracaidismo;Ajedrez;Motonautica;Futbol
46119309;Automovilismo;Automovilismo;Handball;Motocross;Salto
32770791;Remo;Natacion;Buceo;Salto;Trekking
80317669;Snowboard;Pesca;Jabalina;Vela;Polo
58202732;Jabalina;Polo;Trekking;Motonautica;Rally
26464286;Rally;Windsurf;Natacion;Rugby;Ciclismo
30004615;Vela;Cricket;Jabalina;Softball;Voley
84452253;Snowboard;Waterpolo;Polo;Tennis;Softball
8823186;Jockey;Maraton;Rugby;Polo;Escalada
57058730;Kitesurf;Trekking;Equitacion;Trekking;Windsurf
44083345;Parapente;Futsal;Waterpolo;Waterpolo;Motocross
42766148;Softball;Automovilismo;Waterpolo;Handball;Escalada
31435569;Golf;Rugby;Salto;Softball;Equitacion
71406492;Voley;Windsurf;Snowboard;Automovilismo;Paracaidismo
1882738;Rally;Snowboard;Rugby;Trekking;Trekking
8476935;Cricket;Parapente;Remo;Cricket;Voley
23408558;Jockey;Waterpolo;Equitacion;Surf;Jockey
76008671;Paracaidismo;Judo;Equitacion;Sky;Golf
43241466;Waterpolo;Futsal;Pesca;Ciclismo;Ajedrez
77240146;Windsurf;Polo;Rugby;Rugby;Natacion
97191815;Maraton;Jabalina;Golf;Polo;Crossfit
37807850;Pesca;Rally;Ajedrez;Automovilismo;Ciclismo
30914524;Jabalina;Pesca;Motocross;Futsal;Windsurf
3629610;Kitesurf;Sky;Ciclismo;Trekking;Parapente
56285369;Voley;Remo;Salto;Salto;Jabalina
686084;Remo;Rally;Ciclismo;Basket;Sky
55614604;Voley;Surf;Kitesurf;Polo;Handball
55713078;Jabalina;Waterpolo;Escalada;Motonautica;Vela
71837824;Waterpolo;Motonautica;Salto;Tennis;Futsal
56405683;Rally;Waterpolo;Golf;Escalada;Waterpolo
56371375;Automovilismo;Crossfit;Motocross;Pesca;Futbol
